Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GA,Eggholder,0.17902803421020508,-1144.5587209033386,-1331.4354024049799,-1744.6300012954066,-1876.6100822906515,-2506.3737392521743,-3407.8620966731255,-3407.8620966731255,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3462.8404492143463,-3581.095493599637,-3581.095493599637,-3581.095493599637,-3581.095493599637,-3581.095493599637,-3581.095493599637,-3581.095493599637,-3581.095493599637,-3581.095493599637,-3581.095493599637,-3810.9750118458364
GA,Eggholder,0.18550395965576172,-1327.6016565766913,-1327.6016565766913,-1327.6016565766913,-1947.0071189903972,-1947.0071189903972,-1947.0071189903972,-1947.0071189903972,-1947.0071189903972,-1975.5330641375058,-2239.7412568765462,-2885.2576051362385,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3147.6603471179906,-3326.754818947058,-3326.754818947058,-3326.754818947058,-3326.754818947058,-3326.754818947058,-3326.754818947058,-3326.754818947058,-3326.754818947058,-3326.754818947058,-3326.754818947058,-3456.6704055997034,-3456.6704055997034,-3456.6704055997034,-3456.6704055997034,-3456.6704055997034,-3456.6704055997034,-3456.6704055997034,-3456.6704055997034,-3456.6704055997034,-3456.6704055997034,-3456.6704055997034,-3456.6704055997034
GA,Eggholder,0.18949294090270996,-2010.3087901331087,-2010.3087901331087,-2049.8517114227716,-2049.8517114227716,-2049.8517114227716,-2049.8517114227716,-2586.8116062689246,-2586.8116062689246,-2586.8116062689246,-2989.876881432442,-2989.876881432442,-2989.876881432442,-2989.876881432442,-2989.876881432442,-2989.876881432442,-2989.876881432442,-2989.876881432442,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795,-3324.8799165111795
GA,Eggholder,0.17852258682250977,-1741.702900202237,-1741.702900202237,-2104.9621294322037,-2380.027768368508,-2380.027768368508,-2380.027768368508,-2713.301617541983,-2713.301617541983,-2713.301617541983,-2713.301617541983,-2713.301617541983,-2713.301617541983,-3028.001837657522,-3028.001837657522,-3028.001837657522,-3028.001837657522,-3028.001837657522,-3051.7222152352833,-3051.7222152352833,-3051.7222152352833,-3051.7222152352833,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3089.575686266509,-3099.310835784319,-3099.310835784319,-3099.310835784319,-3099.310835784319,-3099.310835784319,-3099.310835784319,-3099.310835784319,-3099.310835784319,-3099.310835784319,-3099.310835784319,-3099.310835784319
GA,Eggholder,0.20298075675964355,-1157.6044685171828,-1880.356638309836,-1880.356638309836,-1880.356638309836,-1880.356638309836,-2337.7227814886405,-2340.6168196596104,-2811.764999192129,-2811.764999192129,-2811.764999192129,-2811.764999192129,-2811.764999192129,-2811.764999192129,-2811.764999192129,-2811.764999192129,-2811.764999192129,-2811.764999192129,-2892.108395083871,-2892.108395083871,-2892.108395083871,-2892.108395083871,-2892.108395083871,-2892.108395083871,-2892.108395083871,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3059.994399571248,-3461.703062295567,-3461.703062295567,-3461.703062295567,-3461.703062295567,-3461.703062295567,-3461.703062295567,-3461.703062295567,-3461.703062295567,-3747.053824562358,-3747.053824562358
GA,Eggholder,0.21343016624450684,-1635.5652630269476,-1635.5652630269476,-1786.2038698600218,-2141.5412102749706,-2329.730456895199,-2415.2362582495675,-2415.2362582495675,-2415.2362582495675,-2932.8902535536326,-2932.8902535536326,-2932.8902535536326,-2932.8902535536326,-2932.8902535536326,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3054.761977905313,-3066.5630730332223,-3066.5630730332223,-3066.5630730332223,-3066.5630730332223,-3066.5630730332223,-3066.5630730332223,-3066.5630730332223,-3066.5630730332223,-3066.5630730332223,-3066.5630730332223,-3066.5630730332223,-3066.5630730332223,-3189.1554345500267,-3189.1554345500267,-3189.1554345500267,-3189.1554345500267,-3189.1554345500267
GA,Eggholder,0.21892142295837402,-2482.5483174820038,-2544.5092636613417,-2544.5092636613417,-2544.5092636613417,-2544.5092636613417,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467,-3065.21450361467
GA,Eggholder,0.20546674728393555,-2246.8109572304443,-2897.4243985437447,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-2976.302870449379,-3295.573341718688,-3416.675190056575,-3416.675190056575,-3416.675190056575,-3416.675190056575,-3416.675190056575,-3416.675190056575,-3416.675190056575,-3495.510305740275,-3495.510305740275,-3495.510305740275,-3688.608243128525,-3688.608243128525,-3766.612216080851,-3766.612216080851,-3772.374529220367,-3772.374529220367,-3772.374529220367,-3772.374529220367,-3772.374529220367,-3772.374529220367,-3772.374529220367,-3772.374529220367,-3772.374529220367,-3772.374529220367,-3772.374529220367,-3772.374529220367,-3772.374529220367
GA,Eggholder,0.19548988342285156,-1164.501616241557,-1164.501616241557,-1790.3507548913437,-1790.3507548913437,-1790.3507548913437,-2272.0381388382084,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2369.4967903890565,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-2698.9158784548554,-3301.1196116775413,-3301.1196116775413,-3301.1196116775413,-3301.1196116775413,-3301.1196116775413
GA,Eggholder,0.1820378303527832,-1091.5513675261213,-1416.3776167863148,-1877.806336978287,-1877.806336978287,-1877.806336978287,-2182.457933751958,-2182.457933751958,-2182.457933751958,-2182.457933751958,-2182.457933751958,-2182.457933751958,-2182.457933751958,-2182.457933751958,-2182.457933751958,-2182.457933751958,-2302.5166275993533,-2370.294166239874,-2370.294166239874,-2625.4538669327458,-2625.4538669327458,-2625.4538669327458,-2693.18245496148,-2693.18245496148,-2751.6855502674075,-2751.6855502674075,-2751.6855502674075,-3055.8531125235095,-3055.8531125235095,-3055.8531125235095,-3055.8531125235095,-3055.8531125235095,-3055.8531125235095,-3055.8531125235095,-3055.8531125235095,-3079.8751851700963,-3079.8751851700963,-3079.8751851700963,-3079.8751851700963,-3079.8751851700963,-3079.8751851700963,-3079.8751851700963,-3079.8751851700963,-3079.8751851700963,-3079.8751851700963,-3079.8751851700963,-3249.396585247028,-3249.396585247028,-3249.396585247028,-3249.396585247028,-3249.396585247028
